Categoría,Juego,Peso
Optimización y Simulación,Tigris & Euphrates,1
Optimización y Simulación,Torres,2.7
Optimización y Simulación,Survive: Escape from Atlantis!,2.5
Optimización y Simulación,Escape: Zombie City,1.7
Optimización y Simulación,Gaia Project,4.0
Optimización y Simulación,Snow Time,0.8
Optimización y Simulación,Shoot Your Friends,0.8
Optimización y Simulación,Imhotep,0.8
Optimización y Simulación,Dominion: Intrigue,0.7
Optimización y Simulación,Chess,0.8
Optimización y Simulación,Scrabble,1
Optimización y Simulación,Operation,1
Optimización y Simulación,PitchCar,0.8
Optimización y Simulación,Backgammon,0.8
Optimización y Simulación,Clue,0.8
Optimización y Simulación,Connect Four,0.8
Optimización y Simulación,Salem,1
Optimización y Simulación,Saboteur: The Duel,0.7
Optimización y Simulación,Saboteur,0.7
Optimización y Simulación,Chinatown,1.8
Optimización y Simulación,Shit Happens,0.8
Optimización y Simulación,Trapwords,0.8
Optimización y Simulación,Unlock!: Escape Adventures,0.8
Optimización y Simulación,Betrayal at House on the Hill,0.8
Optimización y Simulación,Magic Maze,2.4000000000000004
Optimización y Simulación,Dead of Winter: A Crossroads Game,1.7000000000000002
Optimización y Simulación,Spirit Island,2.3
Optimización y Simulación,Pandemic,0.9
Optimización y Simulación,Marvel Champions: The Card Game,1.5
Optimización y Simulación,Dr. Eureka,0.8
Optimización y Simulación,Spinderella,0.8
Optimización y Simulación,Dice Hospital,1.7000000000000002
Optimización y Simulación,Bugs in the Kitchen,0.7
Optimización y Simulación,Lift it!,0.8
Optimización y Simulación,MAJESTY,0.8
Optimización y Simulación,Broom Service,0.7
Optimización y Simulación,Gentes,0.9
Optimización y Simulación,New York 1901,1
Optimización y Simulación,Ticket to Ride,0.7
Optimización y Simulación,Fresco,0.8
Optimización y Simulación,Luxor,1.6
Optimización y Simulación,Ex Libris,1
Optimización y Simulación,Dominion,0.7
Optimización y Simulación,Western Legends,1.6
Optimización y Simulación,The Quacks of Quedlinburg,0.7
Optimización y Simulación,Milestones,0.7
Optimización y Simulación,Magic: The Gathering – Heroes of Dominaria Board Game,2.2
Optimización y Simulación,The Castles of Burgundy,2.5
Optimización y Simulación,Ora et Labora,2.3
Optimización y Simulación,Agricola,0.8
Optimización y Simulación,Newton,2.7
Optimización y Simulación,Cacao,1
Optimización y Simulación,Rajas of the Ganges,1.8
Optimización y Simulación,The World of Smog: On Her Majesty's Service,0.9
Optimización y Simulación,Elysium,0.7
Optimización y Simulación,Railways of the World,3.3
Optimización y Simulación,Escape Plan,1.8
Optimización y Simulación,Adrenaline,1.7000000000000002
Optimización y Simulación,Camel Up,1.5
Optimización y Simulación,Crazy Karts,1.6
Optimización y Simulación,Downforce,0.8
Optimización y Simulación,Jamaica,1.6
Optimización y Simulación,Cartographers,0.7
Optimización y Simulación,Reef,1.8
Optimización y Simulación,Mariposas,0.8
Optimización y Simulación,Azul,1.8
Optimización y Simulación,Azul: Stained Glass of Sintra,2.6
Optimización y Simulación,Azul: Summer Pavilion,1.8
Optimización y Simulación,Battle Sheep,1.6
Optimización y Simulación,Blokus,1
Optimización y Simulación,Qwirkle,1.8
Optimización y Simulación,Ubongo,0.8
Optimización y Simulación,Dragoon,2.7
Optimización y Simulación,Vast: The Crystal Caverns,4.2
Optimización y Simulación,Tsuro,1.7
Optimización y Simulación,Clank!: A Deck-Building Adventure,1.6
Optimización y Simulación,Clank!: Sunken Treasures,1.4
Optimización y Simulación,Sushi Go Party!,0.7
Optimización y Simulación,NMBR 9,1.8
Optimización y Simulación,Takenoko,5.0
Optimización y Simulación,Greedy Greedy Goblins,1
Optimización y Simulación,Ogre,3.3
Optimización y Simulación,Abandon Planet,0.8
Optimización y Simulación,Robo Rally,1.6
Optimización y Simulación,Netrunner,0.9
Optimización y Simulación,Patria Libre,1
Optimización y Simulación,Scythe,3.3
Optimización y Simulación,Shamans,0.8
Optimización y Simulación,Power Grid,1.4
Optimización y Simulación,Root,1.6
Optimización y Simulación,Glow,0.8
Optimización y Simulación,7 Summits,0.8
Optimización y Simulación,Tierra y Libertad: The Mexican Revolution Game (Second Edition),1
Optimización y Simulación,Kingdom Rush: Rift in Time,2.6
Optimización y Simulación,Mini Crimes: Like Cat and Mouse,0.8
Optimización y Simulación,Kiwi Chow Down,0.8
Optimización y Simulación,Butterfly Garden,1.7
Optimización y Simulación,Loteria,0.8
Optimización y Simulación,Upwords,1
Optimización y Simulación,The Game of Life (2013- Editions),1
Optimización y Simulación,Monopoly,0.8
Optimización y Simulación,Kushi Express,0.8
Optimización y Simulación,Topito,0.8
Optimización y Simulación,7 Wonders Duel,3.3
Optimización y Simulación,Stella,1
Optimización y Simulación,Good & Bad Ghosts,0.8
Optimización y Simulación,Make 'n' Break,0.8
Optimización y Simulación,The Magic Labyrinth,1.5
Optimización y Simulación,Labyrinth,2.5
Optimización y Simulación,Viva la Fotosíntesis,2.5
Optimización y Simulación,Carcassonne: Expansion 4 – The Tower,1
Optimización y Simulación,Carcassonne: Expansion 7 – The Catapult,1
Optimización y Simulación,Carcassonne: Expansion 3 – The Princess & The Dragon,1
Optimización y Simulación,Carcassonne: Expansion 2 – Traders & Builders,1
Optimización y Simulación,The Settlers of Catan: The Fishermen of Catan,0.8
Optimización y Simulación,Onitama,0.8
Optimización y Simulación,Hive Pocket,1.8
Optimización y Simulación,GIPF,1.6
Optimización y Simulación,TZAAR,0.8
Optimización y Simulación,ZÈRTZ,0.8
Optimización y Simulación,PÜNCT,1.5
Optimización y Simulación,LYNGK,2.3
Optimización y Simulación,Abalone,0.8
Optimización y Simulación,Kabaleo,1
Patrones y Reconocimiento,Card Game: The Card Game,0.7
Patrones y Reconocimiento,Photosynthesis,0.9
Patrones y Reconocimiento,Yangtze,0.7
Patrones y Reconocimiento,Kingdomino,0.8
Patrones y Reconocimiento,Baruka,1.7000000000000002
Patrones y Reconocimiento,Forbidden Jungle,2.3
Patrones y Reconocimiento,Forbidden Desert,1.6
Patrones y Reconocimiento,Bears vs Babies,0.7
Patrones y Reconocimiento,Potion Explosion,2.7
Patrones y Reconocimiento,Turista Mundial,0.7
Patrones y Reconocimiento,Zendo,2
Patrones y Reconocimiento,Telestrations After Dark,0.9
Patrones y Reconocimiento,Sequence,1
Patrones y Reconocimiento,Fantastic Park,1.5
Patrones y Reconocimiento,My Little Scythe,2.4000000000000004
Patrones y Reconocimiento,Nut So Fast,2
Patrones y Reconocimiento,Pana Po'o,2
Patrones y Reconocimiento,Gems of Iridescia,1.6
Patrones y Reconocimiento,Who Did It?,0.7
Patrones y Reconocimiento,Kill The Unicorns,0.7
Patrones y Reconocimiento,Flash Point: Fire Rescue,0.8
Patrones y Reconocimiento,Dead Men Tell No Tales,0.8
Patrones y Reconocimiento,Fast Food Fear!,0.7
Patrones y Reconocimiento,Acquire,0.8
Patrones y Reconocimiento,Vegas Showdown,0.8
Patrones y Reconocimiento,Stone Age,0.7
Patrones y Reconocimiento,FUSE,1
Patrones y Reconocimiento,La Rata Ricarda,0.8
Patrones y Reconocimiento,Calico,3.3999999999999995
Patrones y Reconocimiento,My Shelfie,1.7
Patrones y Reconocimiento,"Hey, That's My Fish!",1.7000000000000002
Patrones y Reconocimiento,Oceania,0.8
Patrones y Reconocimiento,Goatfish,1.4
Patrones y Reconocimiento,Piñata Blast,0.9
Patrones y Reconocimiento,Splendor Duel,0.7
Patrones y Reconocimiento,12 Days,0.7
Patrones y Reconocimiento,Pot de Vin,0.7
Patrones y Reconocimiento,What's Up,1.4
Patrones y Reconocimiento,Cooking Rumble,0.7
Patrones y Reconocimiento,Cábula,0.7
Patrones y Reconocimiento,J'Accuse!,0.7
Patrones y Reconocimiento,Pick-a-Seal,2
Patrones y Reconocimiento,Instant Recall,0.7
Patrones y Reconocimiento,White Elephant,0.7
Patrones y Reconocimiento,Aban!,0.9
Patrones y Reconocimiento,Rat Attack Party,0.7
Patrones y Reconocimiento,Merchants of Dunhuang,0.7
Patrones y Reconocimiento,Valley of the Kings,0.7
Patrones y Reconocimiento,Sherlock Express,2
Patrones y Reconocimiento,Rustling Leaves,1.6
Patrones y Reconocimiento,Herbaceous,0.7
Patrones y Reconocimiento,Cat Lady,0.7
Patrones y Reconocimiento,Truffle Shuffle,0.7
Patrones y Reconocimiento,Dwarven Smithy,0.7
Patrones y Reconocimiento,Aqualin,2.3
Patrones y Reconocimiento,Santorini,0.8
Patrones y Reconocimiento,WordARound,2
Patrones y Reconocimiento,Everdell,0.7
Patrones y Reconocimiento,Wingspan,0.7
Patrones y Reconocimiento,Everdell Farshore,0.7
Patrones y Reconocimiento,Kanagawa,1.7
Patrones y Reconocimiento,Cascadia,2.7
Patrones y Reconocimiento,Planet,0.8
Patrones y Reconocimiento,Tokaido,0.7
Patrones y Reconocimiento,Holi: Festival of Colors,1
Patrones y Reconocimiento,Ishtar: Gardens of Babylon,0.8
Patrones y Reconocimiento,Terraforming Mars,2.4000000000000004
Patrones y Reconocimiento,Space Gate Odyssey,0.8
Patrones y Reconocimiento,Galaxies: The UFO Project,2.5
Patrones y Reconocimiento,Tides of Madness,0.7
Patrones y Reconocimiento,Patchwork,0.8
Patrones y Reconocimiento,Spirits of the Wild,0.7
Patrones y Reconocimiento,Othello,0.8
Patrones y Reconocimiento,Splendor,0.7
Patrones y Reconocimiento,Century: A New World,0.7
Patrones y Reconocimiento,Century: Eastern Wonders,1.5
Patrones y Reconocimiento,Century: Golem Edition,0.7
Patrones y Reconocimiento,Carcassonne,1.8
Patrones y Reconocimiento,CATAN,0.9
Patrones y Reconocimiento,Abducktion,1
Patrones y Reconocimiento,Sea Dragons,1.7
Patrones y Reconocimiento,El Switcher,3
Patrones y Reconocimiento,Shape Up,2
Patrones y Reconocimiento,Pátzcuaro,0.7
Patrones y Reconocimiento,El Camarero,0.7
Patrones y Reconocimiento,Point Salad,0.7
Patrones y Reconocimiento,Savernake Forest,1.8
Patrones y Reconocimiento,Candy Lab,1
Patrones y Reconocimiento,Virus!,0.7
Patrones y Reconocimiento,Regroup! Chicken Army,1
Patrones y Reconocimiento,Taco Cat Goat Cheese Pizza,2
Patrones y Reconocimiento,Castle Party,1
Patrones y Reconocimiento,Manda Huevos!,2.9
Patrones y Reconocimiento,Spot it!,2.9
Patrones y Reconocimiento,Risk Strike,0.7
Patrones y Reconocimiento,One Deck Dungeon: Forest of Shadows,0.8
Patrones y Reconocimiento,Cover Your Assets,0.7
Patrones y Reconocimiento,Tetris Speed,2
Patrones y Reconocimiento,Sheep Sheep Hurra!,0.7
Patrones y Reconocimiento,Cortex Challenge 3,2.7
Patrones y Reconocimiento,Five Crowns,0.7
Patrones y Reconocimiento,Coloretto,0.7
Patrones y Reconocimiento,Synthesis,0.7
Patrones y Reconocimiento,La tumba del rey Pakal,0.7
Patrones y Reconocimiento,Lucca Città,0.7
Patrones y Reconocimiento,Palastgeflüster,0.7
Patrones y Reconocimiento,Yummy Kitty,0.7
Patrones y Reconocimiento,Clue: Rivals Edition,0.7
Patrones y Reconocimiento,Blood Bowl,0.8
Patrones y Reconocimiento,Risk,0.7
Patrones y Reconocimiento,Nexus Ops,0.9
Patrones y Reconocimiento,7 Wonders,0.7
Patrones y Reconocimiento,Cyclades,0.7
Patrones y Reconocimiento,Tigris & Euphrates,1.5
Patrones y Reconocimiento,Torres,1.6
Patrones y Reconocimiento,Survive: Escape from Atlantis!,2.4000000000000004
Patrones y Reconocimiento,Escape: Zombie City,0.8
Patrones y Reconocimiento,Gaia Project,0.9
Patrones y Reconocimiento,Bohnanza,0.7
Patrones y Reconocimiento,Snow Time,0.8
Patrones y Reconocimiento,Shoot Your Friends,3
Patrones y Reconocimiento,Imhotep,0.7
Patrones y Reconocimiento,Chess,1.8
Patrones y Reconocimiento,Rummy,1.5
Patrones y Reconocimiento,Scrabble,0.8
Patrones y Reconocimiento,Monopoly: Stranger Things,0.7
Patrones y Reconocimiento,Monopoly Gamer,0.7
Patrones y Reconocimiento,Clue,1.5
Patrones y Reconocimiento,Connect Four,1
Patrones y Reconocimiento,Salem,2
Patrones y Reconocimiento,Coup,0.7
Patrones y Reconocimiento,Tortuga,0.7
Patrones y Reconocimiento,The Resistance,0.7
Patrones y Reconocimiento,Chinatown,1.5
Patrones y Reconocimiento,North Wind,0.7
Patrones y Reconocimiento,Sheriff of Nottingham,0.7
Patrones y Reconocimiento,Sheriff of Nottingham: Merry Men,0.7
Patrones y Reconocimiento,Sheriff of Nottingham: 2nd Edition,0.7
Patrones y Reconocimiento,Exploding Kittens,0.7
Patrones y Reconocimiento,Shit Happens,2.4
Patrones y Reconocimiento,Throw Throw Burrito,0.7
Patrones y Reconocimiento,You've Got Crabs,0.7
Patrones y Reconocimiento,Sherlock: The Tomb of the Archaeologist,0.7
Patrones y Reconocimiento,Magic Maze,0.8
Patrones y Reconocimiento,Mysterium,2
Patrones y Reconocimiento,Pandemic,0.7
Patrones y Reconocimiento,Dr. Eureka,1
Patrones y Reconocimiento,Ghost Blitz,2.9
Patrones y Reconocimiento,Leo,0.7
Patrones y Reconocimiento,Spooky Stairs,0.7
Patrones y Reconocimiento,The Color Monster,0.7
Patrones y Reconocimiento,Drachenturm,0.7
Patrones y Reconocimiento,The Heroes of Kaskaria,0.7
Patrones y Reconocimiento,Robot Face Race,2
Patrones y Reconocimiento,Dice Hospital,0.9
Patrones y Reconocimiento,Lift it!,1
Patrones y Reconocimiento,MAJESTY,1.7000000000000002
Patrones y Reconocimiento,Hadara,1.4
Patrones y Reconocimiento,Broom Service,0.7
Patrones y Reconocimiento,Gentes,0.7
Patrones y Reconocimiento,New York 1901,0.8
Patrones y Reconocimiento,Ticket to Ride,0.7
Patrones y Reconocimiento,Fresco,1.5
Patrones y Reconocimiento,Luxor,0.7
Patrones y Reconocimiento,Ex Libris,1.5
Patrones y Reconocimiento,The Castles of Burgundy,3.3999999999999995
Patrones y Reconocimiento,Newton,0.8
Patrones y Reconocimiento,Cytosis: A Cell Biology Board Game,0.7
Patrones y Reconocimiento,Welcome to Centerville,0.7
Patrones y Reconocimiento,Cacao,0.8
Patrones y Reconocimiento,Rajas of the Ganges,0.8
Patrones y Reconocimiento,Lords of Waterdeep,0.7
Patrones y Reconocimiento,The World of Smog: On Her Majesty's Service,0.7
Patrones y Reconocimiento,Elysium,0.7
Patrones y Reconocimiento,Railways of the World,1.7000000000000002
Patrones y Reconocimiento,Escape Plan,1.7000000000000002
Patrones y Reconocimiento,Adrenaline,0.8
Patrones y Reconocimiento,Coach and Play,0.9
Patrones y Reconocimiento,Crazy Karts,0.8
Patrones y Reconocimiento,Animals on Board,0.7
Patrones y Reconocimiento,Reef,1.8
Patrones y Reconocimiento,Mariposas,2.4000000000000004
Patrones y Reconocimiento,Draftosaurus,0.7
Patrones y Reconocimiento,Azul,2.5
Patrones y Reconocimiento,Azul: Stained Glass of Sintra,2.5
Patrones y Reconocimiento,Azul: Summer Pavilion,2.5
Patrones y Reconocimiento,Battle Sheep,1.7000000000000002
Patrones y Reconocimiento,Blokus,0.8
Patrones y Reconocimiento,Qwirkle,1.8
Patrones y Reconocimiento,Ubongo,1.7
Patrones y Reconocimiento,Dragoon,1.6
Patrones y Reconocimiento,Vast: The Crystal Caverns,1.6
Patrones y Reconocimiento,Tsuro,0.8
Patrones y Reconocimiento,Sushi Go!,0.7
Patrones y Reconocimiento,Sushi Go Party!,0.7
Patrones y Reconocimiento,Codenames,0.7
Patrones y Reconocimiento,NMBR 9,1.8
Patrones y Reconocimiento,Takenoko,4.2
Patrones y Reconocimiento,Greedy Greedy Goblins,0.8
Patrones y Reconocimiento,Ogre,1.7000000000000002
Patrones y Reconocimiento,Abandon Planet,0.7
Patrones y Reconocimiento,Codenames: Duet,0.7
Patrones y Reconocimiento,Robo Rally,0.8
Patrones y Reconocimiento,Scythe,1.7000000000000002
Patrones y Reconocimiento,Glow,0.7
Patrones y Reconocimiento,Tierra y Libertad: The Mexican Revolution Game (Second Edition),0.7
Patrones y Reconocimiento,Call to Adventure,0.7
Patrones y Reconocimiento,Kingdom Rush: Rift in Time,1.8
Patrones y Reconocimiento,Kiwi Chow Down,0.8
Patrones y Reconocimiento,When I Dream,0.7
Patrones y Reconocimiento,Deception,0.7
Patrones y Reconocimiento,Fruits,0.7
Patrones y Reconocimiento,Sushi Roll,0.7
Patrones y Reconocimiento,Butterfly Garden,1.7000000000000002
Patrones y Reconocimiento,Upwords,0.8
Patrones y Reconocimiento,Monopoly,0.7
Patrones y Reconocimiento,Kushi Express,1
Patrones y Reconocimiento,Topito,1
Patrones y Reconocimiento,Fold-it,2
Patrones y Reconocimiento,Cakes!,0.9
Patrones y Reconocimiento,Me Want Cookies!,2
Patrones y Reconocimiento,Match Madness,2
Patrones y Reconocimiento,7 Wonders Duel,0.7
Patrones y Reconocimiento,Tapple,1.6
Patrones y Reconocimiento,Stella,0.8
Patrones y Reconocimiento,Good & Bad Ghosts,0.8
Patrones y Reconocimiento,Make 'n' Break,1
Patrones y Reconocimiento,El tanque the bite game,2
Patrones y Reconocimiento,The Magic Labyrinth,1.5
Patrones y Reconocimiento,Labyrinth,0.8
Patrones y Reconocimiento,King of the Dice,0.7
Patrones y Reconocimiento,Eight-Minute Empire,0.7
Patrones y Reconocimiento,Viva la Fotosíntesis,1.6
Patrones y Reconocimiento,Carcassonne: Expansion 4 – The Tower,0.8
Patrones y Reconocimiento,Carcassonne: Expansion 7 – The Catapult,0.8
Patrones y Reconocimiento,Carcassonne: Expansion 3 – The Princess & The Dragon,0.8
Patrones y Reconocimiento,Carcassonne: Expansion 2 – Traders & Builders,1.5
Patrones y Reconocimiento,Monopoly Bid,0.7
Patrones y Reconocimiento,L.L.A.M.A.,0.9
Patrones y Reconocimiento,Clue: Card Game,0.7
Patrones y Reconocimiento,No Thanks!,0.7
Patrones y Reconocimiento,Pick-a-Polar Bear,2
Patrones y Reconocimiento,Happy Halloween,0.7
Patrones y Reconocimiento,Pit,0.7
Patrones y Reconocimiento,Onitama,1.8
Patrones y Reconocimiento,Hive Pocket,2.5
Patrones y Reconocimiento,GIPF,1.8
Patrones y Reconocimiento,TZAAR,0.8
Patrones y Reconocimiento,ZÈRTZ,1.5
Patrones y Reconocimiento,PÜNCT,0.8
Patrones y Reconocimiento,LYNGK,1.8
Patrones y Reconocimiento,Abalone,1.7000000000000002
Patrones y Reconocimiento,Kabaleo,0.8
Patrones y Reconocimiento,Adidoku: Mona Lisa,0.7
Patrones y Reconocimiento,Jaipur,0.7
Conflicto Directo y Competitivos,Card Game: The Card Game,2.9
Conflicto Directo y Competitivos,Photosynthesis,0.7
Conflicto Directo y Competitivos,Yangtze,0.7
Conflicto Directo y Competitivos,Forbidden Jungle,0.7
Conflicto Directo y Competitivos,Forbidden Desert,0.7
Conflicto Directo y Competitivos,Bears vs Babies,2.7
Conflicto Directo y Competitivos,Potion Explosion,1
Conflicto Directo y Competitivos,Wavelength,0.8
Conflicto Directo y Competitivos,Flamme Rouge,1.6
Conflicto Directo y Competitivos,Turista Mundial,1
Conflicto Directo y Competitivos,Dixit,0.8
Conflicto Directo y Competitivos,Pigs on Trampolines,0.8
Conflicto Directo y Competitivos,Sequence,1
Conflicto Directo y Competitivos,My Little Scythe,1
Conflicto Directo y Competitivos,Hanamikoji,0.8
Conflicto Directo y Competitivos,Ca$h 'n Guns: Second Edition,2
Conflicto Directo y Competitivos,Stoned: A Stone Snatching Game,2
Conflicto Directo y Competitivos,Seat Wars,1
Conflicto Directo y Competitivos,Cooks & Crooks,1
Conflicto Directo y Competitivos,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,1
Conflicto Directo y Competitivos,Kill The Unicorns,1.7
Conflicto Directo y Competitivos,Flash Point: Fire Rescue,0.7
Conflicto Directo y Competitivos,Dead Men Tell No Tales,0.7
Conflicto Directo y Competitivos,Vegas Showdown,0.7
Conflicto Directo y Competitivos,Kanban: Driver's Edition,0.7
Conflicto Directo y Competitivos,The Crew: The Quest for Planet Nine,0.7
Conflicto Directo y Competitivos,Can't Stop,0.8
Conflicto Directo y Competitivos,Silk,1
Conflicto Directo y Competitivos,Goatfish,1
Conflicto Directo y Competitivos,Battlestar Galactica: Starship Battles – Starter Set,1.8
Conflicto Directo y Competitivos,Splendor Duel,0.8
Conflicto Directo y Competitivos,Jekyll vs. Hyde,1.7
Conflicto Directo y Competitivos,12 Days,0.7
Conflicto Directo y Competitivos,Pot de Vin,0.7
Conflicto Directo y Competitivos,Cábula,1.8
Conflicto Directo y Competitivos,Dungeon Raiders,2
Conflicto Directo y Competitivos,Tiny Epic Galaxies BLAST OFF!,0.8
Conflicto Directo y Competitivos,J'Accuse!,1
Conflicto Directo y Competitivos,Monsters Party: Voodoo Madness,2
Conflicto Directo y Competitivos,AntaYagí,0.7
Conflicto Directo y Competitivos,Aban!,1
Conflicto Directo y Competitivos,Merchants of Dunhuang,0.6
Conflicto Directo y Competitivos,Hoagie,1
Conflicto Directo y Competitivos,Hero Realms,2
Conflicto Directo y Competitivos,Star Realms,1
Conflicto Directo y Competitivos,Potato Pirates,1
Conflicto Directo y Competitivos,Dragon Farkle,1
Conflicto Directo y Competitivos,The Red Dragon Inn,2.9
Conflicto Directo y Competitivos,Legend of the Five Rings: The Card Game,0.7
Conflicto Directo y Competitivos,Fight for Olympus,1
Conflicto Directo y Competitivos,Santorini,0.8
Conflicto Directo y Competitivos,Timeline Challenge,0.9
Conflicto Directo y Competitivos,Modern Art,0.7
Conflicto Directo y Competitivos,Struggle of Empires,0.7
Conflicto Directo y Competitivos,Ishtar: Gardens of Babylon,0.6
Conflicto Directo y Competitivos,Terraforming Mars,1
Conflicto Directo y Competitivos,Terra,0.9
Conflicto Directo y Competitivos,Dune: Imperium,1.8
Conflicto Directo y Competitivos,Patchwork,0.6
Conflicto Directo y Competitivos,ICECOOL,1
Conflicto Directo y Competitivos,Splendor,0.8
Conflicto Directo y Competitivos,CATAN,1.5
Conflicto Directo y Competitivos,Cat in the Box: Deluxe Edition,0.7
Conflicto Directo y Competitivos,Pátzcuaro,0.6
Conflicto Directo y Competitivos,Dale un piñatazo,1
Conflicto Directo y Competitivos,Weapon Wars,2
Conflicto Directo y Competitivos,Virus!,1
Conflicto Directo y Competitivos,Taco Cat Goat Cheese Pizza,0.8
Conflicto Directo y Competitivos,Boombeados,1
Conflicto Directo y Competitivos,Manda Huevos!,1
Conflicto Directo y Competitivos,Cover Your Assets,1
Conflicto Directo y Competitivos,Sheep Sheep Hurra!,1.8
Conflicto Directo y Competitivos,Impact: Battle of Elements,1
Conflicto Directo y Competitivos,The Oregon Trail Card Game,1
Conflicto Directo y Competitivos,Coloretto,1
Conflicto Directo y Competitivos,Synthesis,1.8
Conflicto Directo y Competitivos,Heroes and Tricks,0.7
Conflicto Directo y Competitivos,Iluliaq,1
Conflicto Directo y Competitivos,The Siblings Trouble,0.7
Conflicto Directo y Competitivos,Trash War,1
Conflicto Directo y Competitivos,Teetotum,0.9
Conflicto Directo y Competitivos,Risk: Godstorm,1
Conflicto Directo y Competitivos,Risk,1
